Hour_Counter,2-hr,4-hr,8-hr,12-hr,24-hr,48-hr,120-hr
386,193,97,49,33,17,9,4
387,194,97,49,33,17,9,4
388,194,97,49,33,17,9,4
389,195,98,49,33,17,9,4
390,195,98,49,33,17,9,4
391,196,98,49,33,17,9,4
392,196,98,49,33,17,9,4
393,197,99,50,33,17,9,4
394,197,99,50,33,17,9,4
395,198,99,50,33,17,9,4
396,198,99,50,33,17,9,4
397,199,100,50,34,17,9,4
398,199,100,50,34,17,9,4
399,200,100,50,34,17,9,4
400,200,100,50,34,17,9,4
401,201,101,51,34,17,9,4
402,201,101,51,34,17,9,4
403,202,101,51,34,17,9,4
404,202,101,51,34,17,9,4
405,203,102,51,34,17,9,4
406,203,102,51,34,17,9,4
407,204,102,51,34,17,9,4
408,204,102,51,34,17,9,4
409,205,103,52,35,18,9,4
410,205,103,52,35,18,9,4
411,206,103,52,35,18,9,4
412,206,103,52,35,18,9,4
413,207,104,52,35,18,9,4
414,207,104,52,35,18,9,4
415,208,104,52,35,18,9,4
416,208,104,52,35,18,9,4
417,209,105,53,35,18,9,4
418,209,105,53,35,18,9,4
419,210,105,53,35,18,9,4
420,210,105,53,35,18,9,4
421,211,106,53,36,18,9,4
422,211,106,53,36,18,9,4
423,212,106,53,36,18,9,4
424,212,106,53,36,18,9,4
425,213,107,54,36,18,9,4
426,213,107,54,36,18,9,4
427,214,107,54,36,18,9,4
428,214,107,54,36,18,9,4
429,215,108,54,36,18,9,4
430,215,108,54,36,18,9,4
431,216,108,54,36,18,9,4
432,216,108,54,36,18,9,4
433,217,109,55,37,19,10,4
434,217,109,55,37,19,10,4
435,218,109,55,37,19,10,4
436,218,109,55,37,19,10,4
437,219,110,55,37,19,10,4
438,219,110,55,37,19,10,4
439,220,110,55,37,19,10,4
440,220,110,55,37,19,10,4
441,221,111,56,37,19,10,4
442,221,111,56,37,19,10,4
443,222,111,56,37,19,10,4
444,222,111,56,37,19,10,4
445,223,112,56,38,19,10,4
446,223,112,56,38,19,10,4
447,224,112,56,38,19,10,4
448,224,112,56,38,19,10,4
449,225,113,57,38,19,10,4
450,225,113,57,38,19,10,4
451,226,113,57,38,19,10,4
452,226,113,57,38,19,10,4
453,227,114,57,38,19,10,4
454,227,114,57,38,19,10,4
455,228,114,57,38,19,10,4
456,228,114,57,38,19,10,4
457,229,115,58,39,20,10,4
458,229,115,58,39,20,10,4
459,230,115,58,39,20,10,4
460,230,115,58,39,20,10,4
461,231,116,58,39,20,10,4
462,231,116,58,39,20,10,4
463,232,116,58,39,20,10,4
464,232,116,58,39,20,10,4
465,233,117,59,39,20,10,4
466,233,117,59,39,20,10,4
467,234,117,59,39,20,10,4
468,234,117,59,39,20,10,4
469,235,118,59,40,20,10,4
470,235,118,59,40,20,10,4
471,236,118,59,40,20,10,4
472,236,118,59,40,20,10,4
473,237,119,60,40,20,10,4
474,237,119,60,40,20,10,4
475,238,119,60,40,20,10,4
476,238,119,60,40,20,10,4
477,239,120,60,40,20,10,4
478,239,120,60,40,20,10,4
479,240,120,60,40,20,10,4
480,240,120,60,40,20,10,4
481,241,121,61,41,21,11,5
482,241,121,61,41,21,11,5
483,242,121,61,41,21,11,5
484,242,121,61,41,21,11,5
485,243,122,61,41,21,11,5
486,243,122,61,41,21,11,5
487,244,122,61,41,21,11,5
488,244,122,61,41,21,11,5
489,245,123,62,41,21,11,5
490,245,123,62,41,21,11,5
491,246,123,62,41,21,11,5
492,246,123,62,41,21,11,5
493,247,124,62,42,21,11,5
494,247,124,62,42,21,11,5
495,248,124,62,42,21,11,5
496,248,124,62,42,21,11,5
497,249,125,63,42,21,11,5
498,249,125,63,42,21,11,5
499,250,125,63,42,21,11,5
500,250,125,63,42,21,11,5
501,251,126,63,42,21,11,5
502,251,126,63,42,21,11,5
503,252,126,63,42,21,11,5
504,252,126,63,42,21,11,5
505,253,127,64,43,22,11,5
506,253,127,64,43,22,11,5
507,254,127,64,43,22,11,5
508,254,127,64,43,22,11,5
509,255,128,64,43,22,11,5
510,255,128,64,43,22,11,5
511,256,128,64,43,22,11,5
512,256,128,64,43,22,11,5
513,257,129,65,43,22,11,5
